"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "Ruby", "Markdown", "YAML", "Makefile", "C++", "C", "Java", "HTML", "Properties", "Shell Script", "Python", "XML", "Perl", "JSON with Comments", "JavaScript", "Gradle", "Batch", "Java Properties", "Kotlin", "comment", "blank", "total"
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/hash/deep_transform_values.rb", "Ruby", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 47
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/hash/except.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 25
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/hash/indifferent_access.rb", "Ruby", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 25
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/hash/keys.rb", "Ruby", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 14, 144
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/hash/reverse_merge.rb", "Ruby", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 26
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/hash/slice.rb", "Ruby", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 28
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/integer.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/integer/inflections.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 32
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/integer/multiple.rb", "Ruby", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 13
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/integer/time.rb", "Ruby", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 23
